Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,267.000000,267.579987,260.160004,265.000000,257.326202,3572000
2021-01-05,263.880005,273.500000,262.570007,270.929993,263.084473,4207100
2021-01-06,276.290009,288.380005,273.100006,285.549988,277.281067,6383500
2021-01-07,287.769989,295.890015,286.679993,291.649994,283.204437,4009700
2021-01-08,292.000000,292.279999,285.059998,290.079987,281.679901,2800800
2021-01-11,286.799988,295.000000,284.200012,293.829987,285.321320,2649700
2021-01-12,297.140015,303.980011,296.019989,302.209991,293.458679,4814400
2021-01-13,300.079987,303.720001,299.100006,302.940002,294.167542,2413800
2021-01-14,304.049988,309.410004,303.540009,307.869995,298.954803,3192200
2021-01-15,301.190002,304.859985,296.880005,301.010010,292.293427,3863700
2021-01-19,305.000000,306.600006,293.799988,294.200012,285.680634,6727800
2021-01-20,295.820007,297.450012,287.480011,290.470001,282.058655,4792600
2021-01-21,290.450012,292.739990,288.529999,289.369995,280.990479,2516000
2021-01-22,286.690002,290.589996,285.500000,289.390015,281.009949,2568800
2021-01-25,285.529999,286.350006,277.500000,283.040009,274.843842,4575000
2021-01-26,283.929993,285.769989,280.079987,281.760010,273.600830,3296800
2021-01-27,276.000000,277.369995,271.320007,273.329987,265.414948,3891800
2021-01-28,274.609985,279.829987,271.329987,275.019989,267.056030,3778700
2021-01-29,274.269989,277.399994,270.619995,271.170013,263.317505,3412000
2021-02-01,272.660004,276.799988,272.000000,274.730011,266.774445,2324100
2021-02-02,278.320007,288.250000,278.000000,286.970001,278.660034,5195500
2021-02-03,286.609985,289.809998,285.179993,288.549988,280.194214,2712800
2021-02-04,290.000000,295.829987,289.519989,293.750000,285.243652,2994700
2021-02-05,295.000000,297.239990,292.190002,293.500000,285.000885,2938100
2021-02-08,295.000000,300.890015,294.500000,300.149994,291.458282,2826200
2021-02-09,299.600006,302.450012,297.700012,300.459991,291.759338,2071700
2021-02-10,300.000000,305.179993,297.750000,304.279999,295.468750,3213700
2021-02-11,303.980011,305.010010,299.170013,302.320007,293.565521,2159900
2021-02-12,301.989990,306.700012,301.769989,306.320007,297.449615,1977300
2021-02-16,310.000000,312.920013,309.220001,311.959991,302.926300,2792200
2021-02-17,310.029999,314.980011,308.760010,312.739990,303.683746,2333100
2021-02-18,309.220001,314.500000,307.579987,309.899994,300.926025,2093300
2021-02-19,310.230011,316.779999,310.230011,315.619995,306.480347,2749500
2021-02-22,313.000000,320.559998,312.209991,316.869995,307.694122,3162300
2021-02-23,317.980011,320.000000,310.579987,319.209991,309.966431,2942500
2021-02-24,320.170013,330.970001,320.100006,330.640015,321.065399,3934400
2021-02-25,333.329987,335.809998,326.290009,327.760010,318.268799,4244000
2021-02-26,325.769989,328.679993,319.040009,319.480011,310.228577,3732200
2021-03-01,325.000000,331.040009,323.309998,329.920013,321.624634,2957800
2021-03-02,330.000000,336.190002,329.510010,330.940002,322.619049,2850300
2021-03-03,333.679993,340.100006,333.250000,334.429993,326.021240,3606300
2021-03-04,333.130005,339.760010,323.920013,329.290009,321.010498,3647600
2021-03-05,335.579987,335.579987,316.459991,327.369995,319.138763,3740200
2021-03-08,331.359985,337.589996,329.100006,334.190002,325.787292,2998000
2021-03-09,328.619995,336.390015,325.570007,330.589996,322.277832,3324800
2021-03-10,332.070007,342.399994,331.529999,342.019989,333.420410,3153100
2021-03-11,338.660004,345.000000,336.459991,342.100006,333.498383,2756600
2021-03-12,345.220001,350.000000,343.640015,348.809998,340.039673,2436700
2021-03-15,349.440002,352.420013,342.000000,346.049988,337.349060,2276200
2021-03-16,345.279999,346.899994,337.750000,341.709991,333.118195,2332600
2021-03-17,344.619995,347.029999,340.399994,344.950012,336.276733,2710900
2021-03-18,350.750000,356.850006,346.989990,348.000000,339.250061,3713000
