PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,b_umd,ivol,tvol,R2,exret,TICKER
12490,10/05/2019,252,-0.0148%,-0.0004,0.8961,-0.2321,-0.2045,-0.1392,1.1169%,1.4332%,39.2704%,-0.3308%,IBM
12490,27/12/2018,252,2.1456%,-0.0008,0.9326,-0.3599,-0.2459,-0.2295,1.1533%,1.5469%,44.4184%,1.1973%,IBM
12490,03/01/2019,252,-1.9964%,-0.0007,0.9389,-0.3443,-0.2344,-0.2640,1.1555%,1.5539%,44.7049%,0.5127%,IBM
12490,24/12/2018,252,-3.0377%,-0.0007,0.9590,-0.3531,-0.2616,-0.2593,1.1480%,1.5241%,43.2567%,-0.4525%,IBM
12490,07/05/2019,252,-1.9518%,-0.0004,0.8973,-0.2343,-0.1971,-0.1345,1.1172%,1.4336%,39.2685%,-0.3788%,IBM
12490,04/01/2019,252,3.9058%,-0.0008,0.9407,-0.3312,-0.2338,-0.2722,1.1477%,1.5640%,46.1479%,0.2862%,IBM
12490,15/05/2019,252,0.8176%,-0.0004,0.9020,-0.2254,-0.2075,-0.1478,1.1178%,1.4467%,40.3019%,0.1549%,IBM
12490,11/12/2018,252,-0.1981%,-0.0008,0.9586,-0.3885,-0.2569,-0.2849,1.1469%,1.4920%,40.9107%,-0.0542%,IBM
12490,26/12/2018,252,3.5512%,-0.0008,0.9301,-0.3460,-0.2430,-0.2304,1.1507%,1.5406%,44.2105%,-1.5815%,IBM
12490,23/05/2019,252,-2.9043%,-0.0005,0.9113,-0.2208,-0.2004,-0.1590,1.1258%,1.4612%,40.6371%,-1.7290%,IBM
12490,21/12/2018,252,-1.8404%,-0.0007,0.9503,-0.3560,-0.2734,-0.2514,1.1497%,1.5137%,42.3100%,0.3406%,IBM
12490,14/12/2018,252,-0.6875%,-0.0007,0.9471,-0.3629,-0.2632,-0.2772,1.1448%,1.4873%,40.7544%,1.0738%,IBM
12490,28/05/2019,252,-1.3759%,-0.0005,0.9130,-0.2247,-0.2049,-0.1646,1.1257%,1.4635%,40.8346%,-0.5720%,IBM
12490,20/12/2018,252,-2.9288%,-0.0007,0.9543,-0.3547,-0.2786,-0.2582,1.1494%,1.5096%,42.0306%,-1.3746%,IBM
12490,17/12/2018,252,-3.1693%,-0.0008,0.9560,-0.3574,-0.2720,-0.2773,1.1468%,1.5001%,41.5525%,-1.2409%,IBM
12490,12/12/2018,252,0.2233%,-0.0008,0.9580,-0.3907,-0.2575,-0.2848,1.1470%,1.4919%,40.8914%,-0.2737%,IBM
12490,21/05/2019,252,0.9843%,-0.0004,0.9043,-0.2304,-0.1969,-0.1405,1.1211%,1.4511%,40.3050%,0.0965%,IBM
12490,18/12/2018,252,0.4737%,-0.0007,0.9619,-0.3406,-0.2635,-0.2728,1.1435%,1.4994%,41.8414%,0.4113%,IBM
12490,24/05/2019,252,-0.0831%,-0.0005,0.9107,-0.2222,-0.2053,-0.1594,1.1253%,1.4611%,40.6897%,-0.1228%,IBM
12490,04/06/2019,252,3.4459%,-0.0003,0.9306,-0.1848,-0.1621,-0.1682,1.1329%,1.4801%,41.4137%,1.1951%,IBM
12490,05/06/2019,252,-0.9044%,-0.0003,0.9257,-0.1619,-0.1551,-0.1864,1.1369%,1.4804%,41.0161%,-1.6205%,IBM
12490,07/06/2019,252,0.8244%,-0.0004,0.9264,-0.1684,-0.1522,-0.1874,1.1366%,1.4807%,41.0782%,-0.2567%,IBM
12490,14/06/2019,252,-0.4493%,-0.0004,0.9291,-0.1722,-0.1497,-0.1941,1.1385%,1.4841%,41.1467%,-0.1202%,IBM
12490,03/12/2018,252,0.8369%,-0.0008,0.9743,-0.3507,-0.1576,-0.3036,1.1361%,1.4586%,39.3387%,-0.3472%,IBM
12490,13/06/2019,252,0.6599%,-0.0004,0.9292,-0.1727,-0.1488,-0.1930,1.1385%,1.4840%,41.1396%,0.0081%,IBM
12490,19/06/2019,252,0.5133%,-0.0003,0.9275,-0.1691,-0.1593,-0.1964,1.1365%,1.4846%,41.3912%,0.2905%,IBM
12490,04/12/2018,252,-2.9607%,-0.0009,0.9636,-0.3544,-0.1640,-0.2815,1.1352%,1.4683%,40.2254%,0.2209%,IBM
12490,26/11/2018,252,2.0224%,-0.0009,0.9607,-0.3443,-0.1405,-0.2959,1.1326%,1.4406%,38.1870%,0.2416%,IBM
12490,20/06/2019,252,1.2912%,-0.0003,0.9281,-0.1714,-0.1619,-0.1995,1.1367%,1.4865%,41.5295%,0.2866%,IBM
12490,07/10/2020,252,1.7217%,-0.0011,0.9731,-0.2053,-0.1140,-0.3579,1.1732%,2.4586%,77.2296%,0.1029%,IBM
12490,27/11/2018,252,0.3931%,-0.0009,0.9606,-0.3463,-0.1396,-0.2944,1.1326%,1.4408%,38.2060%,0.1094%,IBM
12490,01/10/2020,252,-0.4767%,-0.0012,0.9756,-0.2109,-0.1183,-0.3606,1.1712%,2.4599%,77.3313%,-0.6937%,IBM
12490,28/11/2018,252,2.4744%,-0.0008,0.9695,-0.3380,-0.1354,-0.2958,1.1326%,1.4495%,38.9420%,0.4258%,IBM
12490,27/06/2019,252,0.0000%,-0.0002,0.9211,-0.1807,-0.1672,-0.2044,1.1350%,1.4806%,41.2373%,-0.3417%,IBM
12490,11/06/2019,252,0.8980%,-0.0003,0.9280,-0.1695,-0.1496,-0.1881,1.1383%,1.4827%,41.0643%,0.9506%,IBM
12490,28/06/2019,252,-0.4476%,-0.0002,0.9152,-0.1986,-0.1830,-0.2107,1.1363%,1.4791%,40.9790%,-0.9773%,IBM
12490,16/04/2018,252,0.7530%,-0.0005,0.9052,-0.3930,0.3323,-0.1854,1.0012%,1.2264%,33.3434%,0.0423%,IBM
12490,03/07/2019,252,0.9414%,-0.0002,0.9166,-0.2029,-0.1794,-0.2086,1.1340%,1.4783%,41.1489%,0.2050%,IBM
12490,25/06/2019,252,-0.7104%,-0.0002,0.9255,-0.1666,-0.1598,-0.1961,1.1355%,1.4850%,41.5310%,0.2851%,IBM
12490,05/03/2020,252,-3.4794%,-0.0003,0.9301,-0.4211,-0.0665,-0.3621,0.9849%,1.4123%,51.3642%,-0.1786%,IBM
12490,15/01/2019,252,1.1131%,-0.0008,0.9442,-0.3214,-0.2453,-0.2736,1.1407%,1.5650%,46.8729%,0.2045%,IBM
12490,20/11/2018,252,-2.5850%,-0.0009,0.9536,-0.3463,-0.1328,-0.2772,1.1316%,1.4322%,37.5782%,-1.0699%,IBM
12490,09/11/2018,252,0.1297%,-0.0008,0.9515,-0.3260,-0.1553,-0.2776,1.1360%,1.4215%,36.1379%,0.9267%,IBM
12490,10/04/2018,252,1.7683%,-0.0005,0.9020,-0.4095,0.3186,-0.1987,0.9980%,1.2206%,33.1467%,0.4566%,IBM
12490,13/12/2021,252,-1.2169%,-0.0006,0.7198,-0.0210,0.4558,-0.1905,1.2590%,1.4399%,23.5409%,-0.4006%,IBM
12490,10/12/2021,252,0.4208%,-0.0006,0.7180,-0.0193,0.4534,-0.1931,1.2589%,1.4382%,23.3793%,-0.1965%,IBM
14008,18/07/2019,252,1.4007%,-0.0005,0.8230,-0.1132,-0.2289,-0.0860,1.0721%,1.3843%,40.0176%,1.1005%,AMGN
14008,13/08/2019,252,0.1652%,0.0002,0.7547,0.0038,-0.0731,0.1075,1.2656%,1.5037%,29.1600%,-1.0011%,AMGN
14008,12/07/2019,252,-1.7247%,-0.0007,0.8233,-0.1152,-0.2223,-0.0939,1.0699%,1.3822%,40.0780%,-2.1649%,AMGN
14008,16/07/2019,252,0.7665%,-0.0006,0.8205,-0.1125,-0.2295,-0.0937,1.0712%,1.3821%,39.9233%,1.0907%,AMGN
14008,22/07/2019,252,-1.4014%,-0.0005,0.8258,-0.0942,-0.2036,-0.0718,1.0767%,1.3868%,39.7202%,-1.7565%,AMGN
14008,26/07/2019,252,0.7064%,-0.0006,0.8217,-0.0854,-0.2099,-0.0701,1.0764%,1.3862%,39.7030%,0.0373%,AMGN
14008,07/08/2019,252,-0.4988%,-0.0003,0.8159,-0.0485,-0.0843,0.0225,1.1501%,1.4337%,35.6465%,-0.6515%,AMGN
14008,14/08/2019,252,-2.8139%,0.0002,0.7676,-0.0026,-0.0618,0.1056,1.2652%,1.5140%,30.1645%,-0.7757%,AMGN
14008,15/08/2019,252,0.2213%,0.0002,0.7700,0.0029,-0.0545,0.1109,1.2648%,1.5140%,30.2116%,-0.0707%,AMGN
14008,21/08/2019,252,0.3790%,0.0002,0.7844,0.0154,-0.0250,0.1220,1.2676%,1.5226%,30.6980%,-0.2959%,AMGN
14008,03/09/2019,252,-1.4860%,0.0002,0.7936,0.0253,-0.0143,0.1460,1.2789%,1.5438%,31.3726%,-0.8773%,AMGN
14008,05/09/2019,252,0.6446%,0.0003,0.7936,0.0319,-0.0026,0.1679,1.2749%,1.5411%,31.5602%,-0.1903%,AMGN
14008,09/09/2019,252,-2.5947%,0.0002,0.7906,0.0220,-0.0392,0.2076,1.2784%,1.5488%,31.8753%,-1.9941%,AMGN
14008,29/08/2019,252,-0.2602%,0.0003,0.7903,0.0232,-0.0160,0.1506,1.2772%,1.5406%,31.2713%,-1.2102%,AMGN
14008,05/08/2019,252,-3.0552%,-0.0003,0.8117,-0.0618,-0.0972,0.0058,1.1501%,1.4306%,35.3656%,-0.6010%,AMGN
14008,24/07/2019,252,-0.1364%,-0.0005,0.8230,-0.0995,-0.2087,-0.0684,1.0767%,1.3861%,39.6646%,-0.4945%,AMGN
14008,10/07/2019,252,0.3745%,-0.0005,0.8390,-0.1451,-0.2097,-0.1039,1.0514%,1.3734%,41.3929%,-0.0694%,AMGN
14008,11/09/2019,252,-0.5232%,-0.0001,0.7972,-0.0178,-0.0123,0.2590,1.2736%,1.5461%,32.1473%,-1.1354%,AMGN
14008,10/09/2019,252,-2.7034%,0.0001,0.7985,0.0110,-0.0175,0.2607,1.2852%,1.5584%,31.9939%,-2.1692%,AMGN
14008,06/09/2019,252,0.0385%,0.0003,0.7967,0.0397,0.0044,0.1849,1.2731%,1.5408%,31.7268%,0.1234%,AMGN
14008,04/09/2019,252,0.3893%,0.0002,0.7917,0.0322,-0.0152,0.1500,1.2788%,1.5439%,31.3866%,-0.3306%,AMGN
14008,30/08/2019,252,0.7923%,0.0003,0.7908,0.0183,-0.0158,0.1480,1.2781%,1.5409%,31.2007%,0.8146%,AMGN
14008,28/08/2019,252,0.4988%,0.0003,0.7964,0.0258,-0.0112,0.1452,1.2748%,1.5404%,31.5149%,0.0745%,AMGN
14008,22/08/2019,252,-0.2550%,0.0002,0.7851,0.0253,-0.0204,0.1268,1.2673%,1.5227%,30.7337%,-0.1573%,AMGN
14008,20/08/2019,252,-1.3738%,0.0002,0.7848,0.0144,-0.0270,0.1204,1.2675%,1.5225%,30.6959%,-0.8700%,AMGN
14008,19/08/2019,252,0.9705%,0.0002,0.7809,0.0204,-0.0326,0.1200,1.2663%,1.5202%,30.6052%,0.2193%,AMGN
14008,16/08/2019,252,2.3632%,0.0002,0.7829,0.0207,-0.0286,0.1221,1.2669%,1.5210%,30.6232%,1.3158%,AMGN
14008,12/08/2019,252,4.8561%,0.0003,0.7585,0.0045,-0.0747,0.1098,1.2645%,1.5037%,29.2915%,5.8530%,AMGN
14008,08/08/2019,252,0.9208%,-0.0003,0.8080,-0.0518,-0.0931,0.0137,1.1485%,1.4320%,35.6839%,-0.7161%,AMGN
14008,06/08/2019,252,1.6309%,-0.0003,0.8133,-0.0523,-0.0936,0.0172,1.1500%,1.4334%,35.6326%,0.4864%,AMGN
14008,02/08/2019,252,0.6559%,-0.0003,0.8029,-0.0608,-0.1023,0.0030,1.1497%,1.4177%,34.2282%,1.3384%,AMGN
14008,31/07/2019,252,5.7410%,-0.0002,0.8027,-0.0324,-0.1349,-0.0184,1.1583%,1.4306%,34.4396%,6.7764%,AMGN
14008,29/07/2019,252,0.4220%,-0.0006,0.8209,-0.0975,-0.2179,-0.0670,1.0758%,1.3861%,39.7560%,0.5806%,AMGN
14008,25/07/2019,252,-0.9444%,-0.0006,0.8214,-0.0864,-0.2108,-0.0705,1.0764%,1.3865%,39.7347%,-0.4230%,AMGN
14008,23/07/2019,252,0.0682%,-0.0005,0.8243,-0.0933,-0.2046,-0.0689,1.0765%,1.3862%,39.6985%,-0.3909%,AMGN
14008,19/07/2019,252,-0.6405%,-0.0005,0.8263,-0.1118,-0.2173,-0.0782,1.0714%,1.3844%,40.1040%,-0.0540%,AMGN
14008,17/07/2019,252,-0.2310%,-0.0006,0.8202,-0.1133,-0.2278,-0.0906,1.0713%,1.3818%,39.8887%,0.1994%,AMGN
14008,15/07/2019,252,0.6803%,-0.0006,0.8216,-0.1234,-0.2371,-0.0976,1.0702%,1.3825%,40.0815%,0.4915%,AMGN
14008,11/07/2019,252,-2.3427%,-0.0006,0.8334,-0.1105,-0.2075,-0.1026,1.0629%,1.3803%,40.7073%,-2.5897%,AMGN
14008,09/07/2019,252,-0.3567%,-0.0005,0.8493,-0.1436,-0.1831,-0.0866,1.0535%,1.3772%,41.4747%,-0.5927%,AMGN
14008,08/07/2019,252,-1.9899%,-0.0004,0.8530,-0.1448,-0.1859,-0.0866,1.0557%,1.3824%,41.6863%,-1.5141%,AMGN
14008,05/07/2019,252,-1.3999%,-0.0003,0.8511,-0.1482,-0.1817,-0.0782,1.0516%,1.3777%,41.7388%,-1.1744%,AMGN
14008,06/04/2018,252,-2.2442%,-0.0002,1.1739,-0.1500,-0.2886,-0.2596,0.9034%,1.2432%,47.1993%,0.2187%,AMGN
14008,28/06/2019,252,0.1413%,-0.0003,0.8474,-0.1267,-0.1663,-0.0774,1.0509%,1.3724%,41.3671%,-0.3075%,AMGN
14008,04/05/2018,252,0.9556%,-0.0002,1.1640,-0.1265,-0.3257,-0.3247,0.9477%,1.2893%,45.9777%,-0.7682%,AMGN
14008,12/04/2018,252,-0.8062%,-0.0003,1.1786,-0.1504,-0.3119,-0.2928,0.9057%,1.2514%,47.6232%,-1.4450%,AMGN
14008,25/06/2019,252,-0.2110%,-0.0002,0.8366,-0.1552,-0.1927,-0.1222,1.0533%,1.3722%,41.0757%,0.7525%,AMGN
14008,20/06/2019,252,0.7167%,-0.0003,0.8394,-0.1626,-0.1923,-0.1106,1.0452%,1.3665%,41.4901%,-0.1826%,AMGN
14008,26/06/2019,252,-0.6886%,-0.0003,0.8472,-0.1368,-0.1684,-0.0833,1.0513%,1.3729%,41.3552%,-0.8429%,AMGN
14008,18/04/2018,252,0.1315%,-0.0002,1.1771,-0.1442,-0.3313,-0.2908,0.9086%,1.2558%,47.6534%,0.0218%,AMGN
14008,19/06/2019,252,0.6387%,-0.0002,0.8338,-0.1532,-0.2038,-0.1248,1.0497%,1.3679%,41.1110%,0.3618%,AMGN
14008,18/06/2019,252,1.8050%,-0.0002,0.8335,-0.1590,-0.2076,-0.1313,1.0495%,1.3678%,41.1223%,0.9092%,AMGN
14008,12/06/2019,252,0.5612%,-0.0003,0.8337,-0.1648,-0.1943,-0.1104,1.0477%,1.3630%,40.9100%,0.7775%,AMGN
14008,26/04/2018,252,0.3089%,-0.0001,1.1700,-0.1545,-0.3323,-0.3242,0.9193%,1.2652%,47.2037%,-0.8569%,AMGN
14008,13/06/2019,252,0.6321%,-0.0003,0.8337,-0.1638,-0.1956,-0.1131,1.0478%,1.3634%,40.9462%,0.1386%,AMGN
14008,10/06/2019,252,0.0399%,-0.0003,0.8365,-0.1731,-0.1929,-0.1233,1.0463%,1.3625%,41.0370%,-0.4501%,AMGN
14008,30/04/2018,252,-1.6793%,-0.0000,1.1745,-0.1590,-0.3524,-0.3277,0.9186%,1.2695%,47.6407%,-0.7032%,AMGN
14008,01/05/2018,252,-2.9803%,-0.0001,1.1720,-0.1747,-0.3239,-0.3281,0.9410%,1.2834%,46.2391%,-3.2724%,AMGN
14008,29/05/2019,252,0.1954%,-0.0004,0.8438,-0.2800,-0.3129,-0.1527,1.0220%,1.3596%,43.4930%,0.7744%,AMGN
14008,28/05/2019,252,-1.4187%,-0.0004,0.8448,-0.2777,-0.3162,-0.1525,1.0208%,1.3596%,43.6231%,-0.7345%,AMGN
14008,08/05/2018,252,0.2559%,-0.0002,1.1662,-0.1255,-0.3203,-0.3269,0.9465%,1.2889%,46.0746%,0.4734%,AMGN
14008,21/05/2019,252,0.7720%,-0.0005,0.8550,-0.2687,-0.3066,-0.1784,1.0182%,1.3593%,43.8916%,-0.1194%,AMGN
14008,14/05/2018,252,1.1904%,-0.0000,1.1674,-0.1169,-0.3299,-0.3340,0.9470%,1.2924%,46.3104%,1.0050%,AMGN
14008,30/05/2019,252,-0.0828%,-0.0004,0.8491,-0.2886,-0.3043,-0.1525,1.0217%,1.3593%,43.5118%,-0.3139%,AMGN
14008,01/07/2019,252,1.1233%,-0.0002,0.8504,-0.1318,-0.1669,-0.0746,1.0505%,1.3741%,41.5614%,0.4197%,AMGN
14008,17/05/2019,252,-0.0059%,-0.0004,0.8524,-0.2393,-0.2943,-0.1610,1.0226%,1.3588%,43.3670%,0.5900%,AMGN
14008,16/05/2019,252,0.8830%,-0.0003,0.8551,-0.2197,-0.2933,-0.1634,1.0252%,1.3626%,43.3941%,-0.0173%,AMGN
14008,15/05/2019,252,1.2276%,-0.0004,0.8569,-0.2388,-0.3077,-0.1711,1.0284%,1.3677%,43.4619%,0.5074%,AMGN
14008,10/05/2019,252,-0.5900%,-0.0003,0.8582,-0.2376,-0.3084,-0.1777,1.0344%,1.3640%,42.4854%,-0.8686%,AMGN
14008,06/05/2019,252,-0.1410%,-0.0002,0.8568,-0.2418,-0.3062,-0.1718,1.0308%,1.3586%,42.4352%,0.2493%,AMGN
14008,08/05/2019,252,-0.9892%,-0.0003,0.8618,-0.2380,-0.3023,-0.1727,1.0322%,1.3639%,42.7252%,-0.9195%,AMGN
14008,24/05/2018,252,-1.1004%,0.0002,1.1828,-0.1254,-0.3681,-0.3627,0.9394%,1.2925%,47.1729%,-0.9535%,AMGN
14008,29/05/2018,252,-0.4488%,0.0003,1.1797,-0.1142,-0.3795,-0.3650,0.9398%,1.2924%,47.1275%,0.5326%,AMGN
14008,29/04/2019,252,-0.1653%,-0.0003,0.8607,-0.2351,-0.2869,-0.1808,1.0564%,1.3762%,41.0829%,-0.2114%,AMGN
14008,30/04/2019,252,-1.0211%,-0.0004,0.8588,-0.2249,-0.2967,-0.1925,1.0554%,1.3759%,41.1646%,-1.0212%,AMGN
14008,25/04/2019,252,1.2227%,-0.0003,0.8591,-0.2419,-0.2927,-0.1989,1.0608%,1.3798%,40.8905%,1.4051%,AMGN
14008,24/04/2019,252,-0.8122%,-0.0004,0.8600,-0.2335,-0.3039,-0.2226,1.0571%,1.3814%,41.4410%,-0.4870%,AMGN
14008,23/04/2019,252,1.9279%,-0.0003,0.8600,-0.2315,-0.2992,-0.2229,1.0632%,1.3849%,41.0713%,1.1752%,AMGN
14008,17/04/2019,252,-2.9673%,-0.0002,0.8494,-0.2739,-0.3531,-0.2553,1.0414%,1.3714%,42.3318%,-2.8406%,AMGN
14008,08/06/2018,252,0.5456%,0.0001,1.1947,-0.1845,-0.4013,-0.4257,0.9358%,1.3015%,48.2925%,-0.0090%,AMGN
14008,15/04/2019,252,-0.1149%,-0.0000,0.8558,-0.2933,-0.3394,-0.2758,1.0236%,1.3596%,43.3265%,-0.0685%,AMGN
14008,09/04/2019,252,-0.9750%,0.0000,0.8613,-0.3075,-0.3497,-0.3097,1.0229%,1.3650%,43.8426%,-0.3492%,AMGN
14008,08/04/2019,252,-0.2712%,0.0001,0.8601,-0.3112,-0.3508,-0.3031,1.0233%,1.3644%,43.7440%,-0.4675%,AMGN
14008,20/06/2018,252,0.1719%,0.0000,1.1960,-0.1636,-0.4402,-0.4117,0.9294%,1.2987%,48.7915%,-0.0744%,AMGN
14008,12/04/2019,252,-0.3592%,-0.0000,0.8547,-0.2945,-0.3432,-0.2793,1.0237%,1.3597%,43.3116%,-1.1910%,AMGN
14008,02/04/2019,252,0.3442%,0.0001,0.8689,-0.3143,-0.3487,-0.2957,1.0338%,1.3856%,44.3349%,0.2442%,AMGN
14008,01/04/2019,252,0.9422%,0.0001,0.8750,-0.3135,-0.3459,-0.2956,1.0343%,1.3957%,45.0812%,-0.1465%,AMGN
14008,10/04/2019,252,0.4716%,0.0000,0.8552,-0.3095,-0.3570,-0.3152,1.0220%,1.3594%,43.4828%,0.2495%,AMGN
14008,26/03/2019,252,0.9004%,0.0000,0.8913,-0.3058,-0.3055,-0.2527,1.0414%,1.4144%,45.7873%,0.2727%,AMGN
14008,20/03/2019,252,-0.1932%,-0.0000,0.9128,-0.3393,-0.2918,-0.2346,1.0470%,1.4366%,46.8858%,-0.0052%,AMGN
14008,02/07/2018,252,0.3792%,-0.0000,1.1745,-0.2058,-0.3639,-0.4313,0.9115%,1.2717%,48.6276%,0.1866%,AMGN
14008,05/07/2018,252,0.8885%,-0.0001,1.1749,-0.1897,-0.3644,-0.4490,0.9102%,1.2717%,48.7712%,-0.3536%,AMGN
14008,01/03/2019,252,0.5682%,0.0000,0.9052,-0.3942,-0.3063,-0.2314,1.0510%,1.4446%,47.0693%,-0.1567%,AMGN
14008,12/03/2019,252,0.0217%,-0.0002,0.9075,-0.3491,-0.3128,-0.2376,1.0518%,1.4435%,46.9067%,-0.3484%,AMGN
14008,28/06/2018,252,-0.1035%,-0.0001,1.1704,-0.2028,-0.3411,-0.4222,0.9121%,1.2722%,48.5989%,-0.7974%,AMGN
14008,11/07/2018,252,-1.2980%,-0.0000,1.1887,-0.1892,-0.3341,-0.4356,0.9129%,1.2805%,49.1803%,-0.6496%,AMGN
14008,08/03/2019,252,-0.3251%,-0.0002,0.9112,-0.3424,-0.2944,-0.2240,1.0536%,1.4452%,46.8500%,-0.1268%,AMGN
14008,07/03/2019,252,-0.9227%,-0.0002,0.9123,-0.3588,-0.3001,-0.2362,1.0562%,1.4480%,46.7993%,-0.1912%,AMGN
14008,04/03/2019,252,-0.7219%,-0.0000,0.9101,-0.4059,-0.3033,-0.2225,1.0493%,1.4452%,47.2847%,-0.4164%,AMGN
14008,17/07/2018,252,-0.4926%,-0.0001,1.1828,-0.1846,-0.3105,-0.4248,0.9146%,1.2795%,48.9113%,-1.0975%,AMGN
14008,28/02/2019,252,-0.7000%,0.0000,0.9070,-0.3921,-0.3055,-0.2333,1.0510%,1.4459%,47.1617%,-0.3408%,AMGN
14008,23/07/2018,252,-0.2730%,-0.0002,1.1845,-0.1794,-0.3223,-0.4336,0.9149%,1.2800%,48.9161%,-0.1760%,AMGN
14008,14/03/2019,252,0.2188%,-0.0002,0.9134,-0.3515,-0.3113,-0.2443,1.0510%,1.4462%,47.1872%,0.3126%,AMGN
14008,25/07/2018,252,0.8568%,-0.0002,1.1905,-0.1827,-0.3151,-0.4515,0.9127%,1.2815%,49.2778%,-0.0556%,AMGN
14008,21/02/2019,252,-0.7597%,0.0000,0.9108,-0.3806,-0.2847,-0.2182,1.0504%,1.4526%,47.7076%,-0.4307%,AMGN
14008,27/07/2018,252,-0.8297%,0.0001,1.1991,-0.2268,-0.3805,-0.5236,0.8789%,1.2632%,51.5946%,-0.3969%,AMGN
14008,09/07/2018,252,1.6544%,0.0000,1.1845,-0.1889,-0.3465,-0.4349,0.9129%,1.2776%,48.9413%,1.0120%,AMGN
14008,13/02/2019,252,0.2919%,0.0002,0.9274,-0.3647,-0.2581,-0.2059,1.0559%,1.4673%,48.2147%,-0.0184%,AMGN
14008,11/02/2019,252,-0.1129%,0.0001,0.9186,-0.3533,-0.2672,-0.2150,1.0590%,1.4655%,47.7833%,0.0116%,AMGN
14008,01/02/2019,252,-0.0214%,0.0002,0.9205,-0.3353,-0.2102,-0.1807,1.0728%,1.5132%,49.7370%,-0.2179%,AMGN
14008,05/02/2019,252,1.1441%,0.0001,0.9423,-0.3363,-0.1868,-0.1835,1.0618%,1.5143%,50.8304%,0.6072%,AMGN
14008,08/08/2018,252,-2.0958%,-0.0000,1.2183,-0.1914,-0.4664,-0.5648,0.8937%,1.2869%,51.7774%,-1.7709%,AMGN
14008,04/02/2019,252,-0.4758%,0.0002,0.9183,-0.3403,-0.2038,-0.1752,1.0750%,1.5134%,49.5403%,-1.1059%,AMGN
14008,13/08/2018,252,0.6121%,0.0001,1.1970,-0.2036,-0.4706,-0.5540,0.8999%,1.2789%,50.4874%,0.9743%,AMGN
14008,08/02/2019,252,0.9608%,0.0002,0.9054,-0.3423,-0.2712,-0.2212,1.0610%,1.4739%,48.1777%,0.8706%,AMGN
14008,28/01/2019,252,-3.4311%,0.0003,0.9526,-0.3717,-0.2994,-0.2463,1.0520%,1.5315%,52.8171%,-2.5998%,AMGN
14008,22/01/2019,252,-0.9319%,0.0005,0.9625,-0.3592,-0.3080,-0.2952,1.0301%,1.5180%,53.9506%,0.7789%,AMGN
14008,03/01/2019,252,-1.5216%,0.0007,0.9790,-0.3799,-0.2877,-0.3122,1.0314%,1.4986%,52.6292%,1.1492%,AMGN
14008,22/08/2018,252,0.2686%,0.0001,1.1850,-0.2135,-0.4859,-0.5630,0.8986%,1.2687%,49.8265%,0.6666%,AMGN
14008,24/08/2018,252,0.0203%,0.0000,1.1839,-0.2205,-0.4807,-0.5655,0.8982%,1.2683%,49.8432%,-0.8266%,AMGN
14008,08/01/2019,252,1.2824%,0.0007,0.9749,-0.3741,-0.2821,-0.3074,1.0278%,1.5126%,53.8287%,0.3437%,AMGN
14008,23/01/2019,252,-0.2079%,0.0005,0.9613,-0.3543,-0.3061,-0.2946,1.0297%,1.5148%,53.7948%,-0.2562%,AMGN
14008,07/01/2019,252,1.3457%,0.0007,0.9739,-0.3749,-0.2806,-0.3071,1.0277%,1.5110%,53.7416%,0.3648%,AMGN
14008,30/08/2018,252,0.3004%,0.0000,1.1806,-0.2184,-0.4641,-0.5652,0.8968%,1.2671%,49.9130%,0.8197%,AMGN
14008,04/09/2018,252,-1.5415%,-0.0001,1.1767,-0.2265,-0.4568,-0.5686,0.8939%,1.2626%,49.8790%,-1.0940%,AMGN
14008,28/08/2018,252,0.0101%,0.0000,1.1847,-0.2212,-0.4622,-0.5661,0.8956%,1.2676%,50.0855%,-0.0315%,AMGN
14008,02/01/2019,252,-1.4229%,0.0007,0.9888,-0.3872,-0.3079,-0.3256,1.0303%,1.4993%,52.7739%,-1.9777%,AMGN
14008,28/12/2018,252,0.2102%,0.0007,1.0025,-0.3631,-0.2922,-0.3797,1.0219%,1.4924%,53.1110%,0.6474%,AMGN
14008,27/12/2018,252,1.3148%,0.0007,1.0019,-0.3714,-0.2987,-0.3827,1.0213%,1.4923%,53.1665%,0.3221%,AMGN
14008,26/12/2018,252,5.3027%,0.0007,1.0011,-0.3699,-0.2973,-0.3807,1.0213%,1.4903%,53.0374%,-0.0885%,AMGN
14008,04/01/2019,252,3.4184%,0.0007,0.9703,-0.3750,-0.2795,-0.2996,1.0295%,1.5091%,53.4654%,-0.4124%,AMGN
14008,11/09/2018,252,-1.4963%,-0.0002,1.1675,-0.2224,-0.5409,-0.6313,0.8989%,1.2613%,49.2135%,-1.6458%,AMGN
14008,14/01/2019,252,-1.8847%,0.0006,0.9771,-0.3502,-0.2911,-0.3058,1.0304%,1.5173%,53.8872%,-1.4500%,AMGN
14008,12/09/2018,252,0.0150%,-0.0003,1.1555,-0.2340,-0.5628,-0.6115,0.8907%,1.2524%,49.4137%,-0.7032%,AMGN
14008,14/09/2018,252,-1.1580%,-0.0003,1.1584,-0.2443,-0.5768,-0.6199,0.8943%,1.2582%,49.4853%,-1.1942%,AMGN
14008,17/12/2018,252,-1.0361%,0.0006,1.0261,-0.3975,-0.3229,-0.3923,1.0094%,1.4397%,50.8482%,1.0306%,AMGN
