PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,b_umd,ivol,tvol,R2,exret,TICKER
10107,10/03/2017,252,0.3090%,0.0002,1.3710,-0.4348,-0.4038,0.2253,0.8672%,1.1823%,46.2070%,-0.2839%,MSFT
10107,23/12/2019,252,0.0000%,0.0002,1.2840,-0.4611,-0.4412,0.0644,0.6368%,1.3466%,77.6374%,-0.1540%,MSFT
10107,06/01/2020,252,0.2585%,0.0003,1.2893,-0.4488,-0.4371,0.0790,0.6337%,1.1994%,72.0879%,-0.4357%,MSFT
10107,26/07/2019,252,0.8203%,0.0003,1.3160,-0.3834,-0.3543,0.3701,0.7348%,1.6273%,79.6108%,-0.2776%,MSFT
10107,27/04/2018,252,1.6550%,0.0004,1.2784,-0.3015,-0.4869,0.4720,0.7232%,1.3879%,72.8481%,1.4457%,MSFT
10107,06/09/2017,252,-0.2853%,0.0004,1.0761,-0.1976,-0.4697,0.4448,0.6252%,0.9402%,55.7792%,-0.2063%,MSFT
10107,26/10/2017,252,0.1653%,0.0002,1.0848,-0.1809,-0.4908,0.4592,0.5686%,0.8693%,57.2170%,-0.0601%,MSFT
10107,10/08/2018,252,-0.6109%,0.0006,1.2300,-0.4129,-0.5650,0.5184,0.7053%,1.4074%,74.8830%,-0.2108%,MSFT
10107,09/06/2020,252,0.7645%,0.0005,1.2256,-0.2273,-0.4940,0.0384,0.7907%,2.4938%,89.9476%,0.6549%,MSFT
10107,21/07/2020,252,-1.3469%,0.0006,1.2344,-0.1847,-0.5131,0.0482,0.8155%,2.5709%,89.9379%,0.4617%,MSFT
10107,14/07/2020,252,0.6181%,0.0006,1.2307,-0.1816,-0.5021,0.0515,0.8055%,2.5551%,90.0611%,-1.1625%,MSFT
10107,22/03/2017,252,1.2771%,0.0002,1.3575,-0.4292,-0.4242,0.2042,0.8518%,1.1693%,46.9264%,0.6475%,MSFT
10107,17/01/2017,252,-0.2711%,0.0003,1.4186,-0.3365,-0.4195,0.2773,0.9194%,1.3653%,54.6517%,0.1243%,MSFT
10107,17/11/2020,252,-1.2751%,0.0001,1.2399,-0.2441,-0.4976,0.0352,0.9261%,2.7565%,88.7123%,-0.8963%,MSFT
10107,15/11/2018,252,2.2006%,0.0005,1.1873,-0.4052,-0.3916,0.6505,0.7220%,1.6051%,79.7677%,0.3804%,MSFT
10107,10/12/2020,252,-0.6043%,-0.0001,1.2399,-0.2624,-0.4899,0.0277,0.9377%,2.7629%,88.4821%,-0.8336%,MSFT
10107,13/06/2019,252,0.6312%,0.0006,1.2951,-0.3281,-0.3650,0.4767,0.7314%,1.6473%,80.2849%,0.8526%,MSFT
10107,18/01/2019,252,1.4983%,0.0008,1.2155,-0.3973,-0.4066,0.5905,0.7133%,1.8196%,84.6337%,0.3181%,MSFT
10107,28/01/2021,252,2.5891%,0.0003,1.2217,-0.2695,-0.4525,0.0538,1.0145%,2.7879%,86.7588%,0.5853%,MSFT
10107,14/09/2021,252,0.9428%,0.0007,1.1261,-0.4547,-0.3844,0.0363,0.7215%,1.3978%,73.3560%,1.0956%,MSFT
10107,01/07/2019,252,1.2840%,0.0005,1.2987,-0.3936,-0.4163,0.4102,0.7377%,1.6497%,80.0041%,-0.1306%,MSFT
10107,20/06/2019,252,0.9286%,0.0005,1.2981,-0.3470,-0.3787,0.4491,0.7296%,1.6478%,80.3937%,-0.2839%,MSFT
